metric,topic,start_len,end_len,word_range,auc_resultsClusteringSpacyOracleLite75_simulation_0,auc_topic,aucNorm_resultsClusteringSpacyOracleLite75_simulation_0,score_limit,limit_wordCount_resultsClusteringSpacyOracleLite75_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsClusteringSpacyOracleLite75_simulation_0,wordcount_limit_-inf,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_350,limit_F1score_avg_350
RSU,D0614,105,333,228,29.11489276,29.11489276,0.127696898,0.11,158.7247971,158.7247971,0.140291342,#NAME?,0.05267,0.05267,100,0.062059286,0.062059286,150,0.103941818,0.103941818,250,0.167850811,0.167850811,350,0.182564,0.182564
RSU,D0615,105,333,228,25.47818838,25.47818838,0.11174644,0.11,177.3809524,177.3809524,0.196761905,#NAME?,0.03299,0.03299,100,0.051082586,0.051082586,150,0.091665094,0.091665094,250,0.147630169,0.147630169,350,0.1622485,0.1622485
RSU,D0616,105,333,228,25.40887999,25.40887999,0.111442456,0.11,178.7185473,178.7185473,0.17591872,#NAME?,0.04794,0.04794,100,0.054635472,0.054635472,150,0.086692632,0.086692632,250,0.147441017,0.147441017,350,0.153176,0.153176
RSU,D0617,105,333,228,27.37249229,27.37249229,0.120054791,0.11,147.4703408,147.4703408,0.148848567,#NAME?,0.03736,0.03736,100,0.0603424,0.0603424,150,0.112454286,0.112454286,250,0.155042683,0.155042683,350,0.153070667,0.153070667
RSU,D0620,105,333,228,25.29823395,25.29823395,0.110957166,0.11,183.2498132,183.2498132,0.168786327,#NAME?,0.0584,0.0584,100,0.059935323,0.059935323,150,0.085524032,0.085524032,250,0.148033077,0.148033077,350,0.1573,0.1573
RSU,D0624,105,333,228,33.4328592,33.4328592,0.146635347,0.11,127.7851429,127.7851429,0.111876726,#NAME?,0.04391,0.04391,100,0.073725238,0.073725238,150,0.136166538,0.136166538,250,0.18656907,0.18656907,350,0.205821364,0.205821364
RSU,D0627,105,333,228,24.38997835,24.38997835,0.106973589,0.11,187.5181712,187.5181712,0.212381111,#NAME?,0.03566,0.03566,100,0.045443333,0.045443333,150,0.081878,0.081878,250,0.145023913,0.145023913,350,0.165316316,0.165316316
RSU,D0628,105,333,228,25.27542853,25.27542853,0.110857143,0.11,166.5103995,166.5103995,0.18082909,#NAME?,0.04311,0.04311,100,0.063882157,0.063882157,150,0.101069643,0.101069643,250,0.141768696,0.141768696,350,0.150873774,0.150873774
RSU,D0629,105,333,228,19.44996636,19.44996636,0.08530687,0.11,224.8539714,224.8539714,0.336126991,#NAME?,0.02536,0.02536,100,0.035198983,0.035198983,150,0.064883636,0.064883636,250,0.114545,0.114545,350,0.122770588,0.122770588
RSU,D0630,105,333,228,23.48269422,23.48269422,0.102994273,0.11,182.9046563,182.9046563,0.192114689,#NAME?,0.03548,0.03548,100,0.04546069,0.04546069,150,0.086568421,0.086568421,250,0.1395,0.1395,350,0.147201379,0.147201379
